date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:55	543/543	---M--	404	error ('Not%20Found')	text/html		http://localhost:8085/robots.txt		(from )
16:41:55	3896/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/	localhost_8085/index.html	(from )
16:41:55	1051/1051	---M--	200	added ('OK')	image/png		http://localhost:8085/img/favicon-green.png	localhost_8085/img/favicon-green.png	(from )
16:41:56	161470/161470	---M--	200	added ('OK')	text/css		http://localhost:8085/css/daux-green.css	localhost_8085/css/daux-green.css	(from )
16:41:56	221/221	---M--	200	added ('OK')	text/javascript		http://localhost:8085/js/custom.js	localhost_8085/js/custom.js	(from )
16:41:57	5178/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/The_Solution	localhost_8085/The_Solution.html	(from )
16:41:57	8445/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/The_Problem	localhost_8085/The_Problem.html	(from )
16:41:57	4078/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/The_Core	localhost_8085/The_Core.html	(from )
16:41:58	3674/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Appeal/Holistic	localhost_8085/Appeal/Holistic.html	(from )
16:41:58	3898/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Appeal/To_Consumers	localhost_8085/Appeal/To_Consumers.html	(from )
16:41:58	3983/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Appeal/To_Reporters	localhost_8085/Appeal/To_Reporters.html	(from )
16:41:59	4923/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Sourcing	localhost_8085/Sourcing.html	(from )
16:41:59	5832/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/App/Discover	localhost_8085/App/Discover.html	(from )
16:41:59	3800/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/App/Report	localhost_8085/App/Report.html	(from )
16:41:59	4333/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Business_Objectives/Locations	localhost_8085/Business_Objectives/Locations.html	(from )
16:42:00	3904/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Business_Objectives/Short_Term	localhost_8085/Business_Objectives/Short_Term.html	(from )
16:42:00	3890/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Business_Objectives/Mid_Term	localhost_8085/Business_Objectives/Mid_Term.html	(from )
16:42:01	3977/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Business_Objectives/Long_Term	localhost_8085/Business_Objectives/Long_Term.html	(from )
16:42:01	4665/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Glossary/Emergent_Event	localhost_8085/Glossary/Emergent_Event.html	(from )
16:42:01	4176/-1	---M--	200	added ('OK')	text/html		http://localhost:8085/Glossary/Event	localhost_8085/Glossary/Event.html	(from )
16:42:02	8777/8777	---M--	200	added ('OK')	image/png		http://localhost:8085/img/glyphicons-halflings-white.png	localhost_8085/img/glyphicons-halflings-white.png	(from http://localhost:8085/)
16:42:02	12799/12799	---M--	200	added ('OK')	image/png		http://localhost:8085/img/glyphicons-halflings.png	localhost_8085/img/glyphicons-halflings.png	(from http://localhost:8085/)
16:42:03	94848/94848	---M--	200	added ('OK')	text/javascript		http://localhost:8085/js/highlight.min.js	localhost_8085/js/highlight.min.js	(from )
16:42:48	554123/554123	---M--	200	added ('OK')	image/png		http://localhost:8085/img/y/Dia_Types_Global.png	localhost_8085/img/y/Dia_Types_Global.png	(from http://localhost:8085/)
16:43:46	1992445/1992445	---M--	200	added ('OK')	image/png		http://localhost:8085/img/y/MockMap.png	localhost_8085/img/y/MockMap.png	(from http://localhost:8085/)
